Sentences,File location,gloss_sequence,signer_id,sample_id,cleaned_gloss,german,back_translated
you are good,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are good\good (4).MP4,YOU GOOD,0,ISL_0450_S0,GOOD,WAHRSCHEINLICHKEIT,LIKELIHOOD
it was nice chatting with you,ISL_CSLRT_Corpus\Videos_Sentence_Level\it was nice chatting with you\MVI_6107.MP4,YOU CHAT NICE,0,ISL_0280_S0,NICE CHATTING,NICE CHATING,NICE CHATING
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (5).MP4,I GOT HURT,3,ISL_0248_S3,GOT HURT,GUT HURT,GOOD CURRENCY
you can do it,ISL_CSLRT_Corpus\Videos_Sentence_Level\you can do it\can do (2).MP4,YOU DO IT,0,ISL_0458_S0,,Der Präsident,The President
he came by train,ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (4).MP4,HE TRAIN CAME ,5,ISL_0088_S5,CAME TRAIN,KAME TRAIN,KAME TRAIN
"you need a medicine, take this one","ISL_CSLRT_Corpus\Videos_Sentence_Level\you need a medicine, take this one\medicine (5).MP4","YOU NEED A MEDICINE, TAKE THIS ONE",1,ISL_0470_S1,NEED MEDICINE TAKE ONE,NOTWENDIGES MEDIZIN ERWACHET,NEEDED MEDICALLY AWAKES
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly (4).MP4,SPEAK SOFTLY,5,ISL_0330_S5,SPEAK SOFTLY,SPRACHEN SOFTLICH,LANGUAGES SOFTLY
he came by train,ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (3).MP4,HE TRAIN CAME ,1,ISL_0087_S1,CAME TRAIN,KAME TRAIN,KAME TRAIN
we are all with you,ISL_CSLRT_Corpus\Videos_Sentence_Level\we are all with you\MVI_6957.MP4,WE ALL WITH YOU,4,ISL_0367_S4,,Der Präsident,The President
he came by train,ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (5).MP4,HE TRAIN CAME ,0,ISL_0089_S0,CAME TRAIN,KAME TRAIN,KAME TRAIN
