Sentences,target_text,input_text,generated_gloss,gloss_sequence
it does not make any difference to me,IT MAKE ANY DIFFERENCE  ME DO NOT ,translate English to gloss: it does not make any difference to me,I CAN NOT DIFFERENCE,IT MAKE ANY DIFFERENCE  ME DO NOT 
it does not make any difference to me,IT MAKE ANY DIFFERENCE  ME DO NOT ,translate English to gloss: it does not make any difference to me,I CAN NOT DIFFERENCE,IT MAKE ANY DIFFERENCE  ME DO NOT 
it does not make any difference to me,IT MAKE ANY DIFFERENCE  ME DO NOT ,translate English to gloss: it does not make any difference to me,I CAN NOT DIFFERENCE,IT MAKE ANY DIFFERENCE  ME DO NOT 
tell me truth,TELL TRUTH,translate English to gloss: tell me truth,I RÉAL,TELL TRUTH
tell me truth,TELL TRUTH,translate English to gloss: tell me truth,I RÉAL,TELL TRUTH
tell me truth,TELL TRUTH,translate English to gloss: tell me truth,I RÉAL,TELL TRUTH
do me a favour,DO  FAVOUR ME,translate English to gloss: do me a favour,DO MONEY FOUR,DO  FAVOUR ME
do me a favour,DO  FAVOUR ME,translate English to gloss: do me a favour,DO MONEY FOUR,DO  FAVOUR ME
do me a favour,DO  FAVOUR ME,translate English to gloss: do me a favour,DO MONEY FOUR,DO  FAVOUR ME
do me a favour,DO  FAVOUR ME,translate English to gloss: do me a favour,DO MONEY FOUR,DO  FAVOUR ME
do me a favour,DO  FAVOUR ME,translate English to gloss: do me a favour,DO MONEY FOUR,DO  FAVOUR ME
do me a favour,DO  FAVOUR ME,translate English to gloss: do me a favour,DO MONEY FOUR,DO  FAVOUR ME
do me a favour,DO  FAVOUR ME,translate English to gloss: do me a favour,DO MONEY FOUR,DO  FAVOUR ME
do me a favour,DO  FAVOUR ME,translate English to gloss: do me a favour,DO MONEY FOUR,DO  FAVOUR ME
do not worry,DONOT WORRY,translate English to gloss: do not worry,DO NOT HELP ME,DONOT WORRY
do not worry,DONOT WORRY,translate English to gloss: do not worry,DO NOT HELP ME,DONOT WORRY
do not worry,DONOT WORRY,translate English to gloss: do not worry,DO NOT HELP ME,DONOT WORRY
do not worry,DONOT WORRY,translate English to gloss: do not worry,DO NOT HELP ME,DONOT WORRY
do not worry,DONOT WORRY,translate English to gloss: do not worry,DO NOT HELP ME,DONOT WORRY
do not worry,DONOT WORRY,translate English to gloss: do not worry,DO NOT HELP ME,DONOT WORRY
do not worry,DONOT WORRY,translate English to gloss: do not worry,DO NOT HELP ME,DONOT WORRY
do not abuse him, HIM ABUSE DONOT,translate English to gloss: do not abuse him,YOU MISS him, HIM ABUSE DONOT
do not abuse him, HIM ABUSE DONOT,translate English to gloss: do not abuse him,YOU MISS him, HIM ABUSE DONOT
do not abuse him, HIM ABUSE DONOT,translate English to gloss: do not abuse him,YOU MISS him, HIM ABUSE DONOT
do not abuse him, HIM ABUSE DONOT,translate English to gloss: do not abuse him,YOU MISS him, HIM ABUSE DONOT
