Sentences,gloss_sequence,length_diff,has_rare_token,large_mismatch
it does not make any difference to me,IT MAKE ANY DIFFERENCE  ME DO NOT ,1,False,False
tell me truth,TELL TRUTH,1,False,False
do me a favour,DO  FAVOUR ME,1,False,False
do not worry,DONOT WORRY,1,False,False
do not abuse him, HIM ABUSE DONOT,1,False,False
what you want,YOU WANT WHAT ,0,False,False
do not be stubborn,STUBBORN  BE DONOT,1,False,False
i enjoyed a lot,I ENJOYED A LOT,0,False,False
i am suffering from fever,I FEVER SUFFERING  ,2,False,False
try to understand,YOU TRY UNDERSTAND,0,False,False
pour some more water into the glass,WATER POUR  GLASS,4,False,False
are you free today,YOU FREE TODAY,1,False,False
how can i trust you,I TRUST YOU HOW ,1,False,False
what do you think, DO YOU THINK WHAT,0,False,False
you are good,YOU GOOD,1,False,False
what happened,HAPPENED WHAT ,0,False,False
speak softly,SPEAK SOFTLY,0,False,False
i am fine. thank you sir,I FINE THANK YOU ,2,False,False
comb your hair,COMB YOU HAIR,0,False,False
do not make me angry,YOU ANGRY DONOT,2,False,False
do not be stubborn,STUBBORN  BE DONOT,1,False,False
how can i trust you,I TRUST YOU HOW ,1,False,False
where are you from,YOU FROM WHERE ,1,False,False
take care of yourself,TAKE CARE  YOURSELF,1,False,False
what are you doing, YOU DO WHAT,1,False,False
how dare you, DARE YOU HOW,0,False,False
i am crying,I CRY,1,False,False
why are you angry,YOU ANGRY WHY ,1,False,False
i am sitting in the class,I SITTING CLASS,3,False,False
do not be stubborn,STUBBORN  BE DONOT,1,False,False
now onwards he will never hurt you,NOW ONWARDS HE HURT YOU NEVER ,1,False,False
he is on the way,HE ON THE WAY,1,False,False
it was nice chatting with you,YOU CHAT NICE,3,False,False
had your food, FOOD HAD,1,False,False
i promise,I PROMISE,0,False,False
take care of yourself,TAKE CARE  YOURSELF,1,False,False
how can i help you, I HELP YOU HOW,1,False,False
do not worry,DONOT WORRY,1,False,False
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT,1,False,False
why are you angry,YOU ANGRY WHY ,1,False,False
nice to meet you,NICE MEET YOU,1,False,False
let him take time,LET HIM TAKE TIME,0,False,False
i got hurt,I GOT HURT,0,False,False
i am tired,I TIRED,1,False,False
comb your hair,COMB YOU HAIR,0,False,False
i promise,I PROMISE,0,False,False
can you repeat that please,YOU REPEAT PLEASE,2,False,False
comb your hair,COMB YOU HAIR,0,False,False
my name is xxxxxxxx,MY NAME XXXXXXXX,1,False,False
how old are you,HOW OLD YOU,1,False,False
thank you so much,THANK YOU SO MUCH,0,False,False
what are you doing, YOU DO WHAT,1,False,False
that is so kind of you, YOU KIND THAT,3,False,False
i do not like it,I  LIKE IT DO NOT,0,False,False
how dare you, DARE YOU HOW,0,False,False
prepare the bed,PREPARE BED,1,False,False
can you repeat that please,YOU REPEAT PLEASE,2,False,False
i am (age),I OLD,1,False,False
what do you want to become,WHAT DO YOU WANT BECOME,1,False,False
you can do it,YOU DO IT,1,False,False
i got hurt,I GOT HURT,0,False,False
i am afraid of that,I AFRAID THAT,2,False,False
he would be coming today,HE COMING TODAY,2,False,False
This place is beautiful,THIS PLACE BEAUTIFUL,1,False,False
i promise,I PROMISE,0,False,False
do you need something,DO YOU NEED SOMETHING,0,False,False
how can i help you, I HELP YOU HOW,1,False,False
he is on the way,HE ON THE WAY,1,False,False
we are all with you,WE ALL WITH YOU,1,False,False
how can i trust you,I TRUST YOU HOW ,1,False,False
what is your phone number, YOUR PHONE NUMBER WHAT,1,False,False
nice to meet you,NICE MEET YOU,1,False,False
are you hiding something,YOU HIDE SOMETHING,1,False,False
it was nice chatting with you,YOU CHAT NICE,3,False,False
speak softly,SPEAK SOFTLY,0,False,False
i am sitting in the class,I SITTING CLASS,3,False,False
i do not like it,I  LIKE IT DO NOT,0,False,False
i need water,I WATER NEED ,0,False,False
thank you so much,THANK YOU SO MUCH,0,False,False
had your food, FOOD HAD,1,False,False
what do you do,YOU DO WHAT ,1,False,False
tell me truth,TELL TRUTH,1,False,False
how old are you,HOW OLD YOU,1,False,False
you are bad,YOU BAD,1,False,False
what you want,YOU WANT WHAT ,0,False,False
how can i help you, I HELP YOU HOW,1,False,False
are you hiding something,YOU HIDE SOMETHING,1,False,False
can you repeat that please,YOU REPEAT PLEASE,2,False,False
what you want,YOU WANT WHAT ,0,False,False
my name is xxxxxxxx,MY NAME XXXXXXXX,1,False,False
wear the shirt, SHIRT WEAR,1,False,False
thank you so much,THANK YOU SO MUCH,0,False,False
shall we go outside,OUTSIDE GO ,2,False,False
can you repeat that please,YOU REPEAT PLEASE,2,False,False
what are you doing, YOU DO WHAT,1,False,False
how dare you, DARE YOU HOW,0,False,False
He is going into the room,HE ROOM  GO  ,3,False,False
i am suffering from fever,I FEVER SUFFERING  ,2,False,False
bring water for me,BRING WATER ME,1,False,False
can i help you,I HELP YOU,1,False,False
do not worry,DONOT WORRY,1,False,False
what do you want to become,WHAT DO YOU WANT BECOME,1,False,False
This place is beautiful,THIS PLACE BEAUTIFUL,1,False,False
could you please talk slower,YOU PLEASE TALK SLOWER,1,False,False
he came by train,HE TRAIN CAME ,1,False,False
help me,HELP ME,0,False,False
serve the food,FOOD SERVE ,1,False,False
i am not really sure,I  REALLY NOT SURE,1,False,False
go and sleep,GO SLEEP,1,False,False
it does not make any difference to me,IT MAKE ANY DIFFERENCE  ME DO NOT ,1,False,False
how are things, THINGS HOW,1,False,False
serve the food,FOOD SERVE ,1,False,False
i enjoyed a lot,I ENJOYED A LOT,0,False,False
you are welcome,YOU WELCOME,1,False,False
he she is my friend,YOU MY FRIEND,2,False,False
you can do it,YOU DO IT,1,False,False
can i help you,I HELP YOU,1,False,False
congratulations,CONGRATULATIIONS,0,False,False
where are you from,YOU FROM WHERE ,1,False,False
do you need something,DO YOU NEED SOMETHING,0,False,False
take care of yourself,TAKE CARE  YOURSELF,1,False,False
i am fine. thank you sir,I FINE THANK YOU ,2,False,False
prepare the bed,PREPARE BED,1,False,False
i am very happy,I VERY HAPPY,1,False,False
he came by train,HE TRAIN CAME ,1,False,False
i am not really sure,I  REALLY NOT SURE,1,False,False
This place is beautiful,THIS PLACE BEAUTIFUL,1,False,False
serve the food,FOOD SERVE ,1,False,False
i need water,I WATER NEED ,0,False,False
i do not agree,I AGREE DONOT ,1,False,False
do not make me angry,YOU ANGRY DONOT,2,False,False
you are bad,YOU BAD,1,False,False
i promise,I PROMISE,0,False,False
go and sleep,GO SLEEP,1,False,False
do not make me angry,YOU ANGRY DONOT,2,False,False
speak softly,SPEAK SOFTLY,0,False,False
take care of yourself,TAKE CARE  YOURSELF,1,False,False
do not abuse him, HIM ABUSE DONOT,1,False,False
you can do it,YOU DO IT,1,False,False
pour some more water into the glass,WATER POUR  GLASS,4,False,False
i am so sorry to hear that,I SORRY  HEAR THAT,3,False,False
i am very happy,I VERY HAPPY,1,False,False
i am sitting in the class,I SITTING CLASS,3,False,False
can i help you,I HELP YOU,1,False,False
go and sleep,GO SLEEP,1,False,False
try to understand,YOU TRY UNDERSTAND,0,False,False
he is on the way,HE ON THE WAY,1,False,False
why are you angry,YOU ANGRY WHY ,1,False,False
what are you doing, YOU DO WHAT,1,False,False
"you do anything, i do not care","YOU DO ANYTHING, I DONOT CARE",1,False,False
i am really grateful,I REALLY GRATEFUL,1,False,False
how can i help you, I HELP YOU HOW,1,False,False
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT,1,False,False
i got hurt,I GOT HURT,0,False,False
i need water,I WATER NEED ,0,False,False
you can do it,YOU DO IT,1,False,False
do you need something,DO YOU NEED SOMETHING,0,False,False
how old are you,HOW OLD YOU,1,False,False
i really appreciate it,I REALLY APPRECIATE IT,0,False,False
you can do it,YOU DO IT,1,False,False
i enjoyed a lot,I ENJOYED A LOT,0,False,False
what happened,HAPPENED WHAT ,0,False,False
my name is xxxxxxxx,MY NAME XXXXXXXX,1,False,False
we are all with you,WE ALL WITH YOU,1,False,False
i am not really sure,I  REALLY NOT SURE,1,False,False
