Sentences,gloss_sequence,length_diff,has_rare_token,large_mismatch,keyword_mismatch
it does not make any difference to me,IT MAKE ANY DIFFERENCE  ME DO NOT ,1,False,False,False
tell me truth,TELL TRUTH,1,False,False,False
do me a favour,DO  FAVOUR ME,1,False,False,False
do not worry,DONOT WORRY,1,False,False,False
do not abuse him, HIM ABUSE DONOT,1,False,False,False
what you want,YOU WANT WHAT ,0,False,False,False
do not be stubborn,STUBBORN  BE DONOT,1,False,False,False
i enjoyed a lot,I ENJOYED A LOT,0,False,False,False
i am suffering from fever,I FEVER SUFFERING  ,2,False,False,False
try to understand,YOU TRY UNDERSTAND,0,False,False,False
pour some more water into the glass,WATER POUR  GLASS,4,False,False,False
are you free today,YOU FREE TODAY,1,False,False,False
how can i trust you,I TRUST YOU HOW ,1,False,False,False
what do you think, DO YOU THINK WHAT,0,False,False,False
you are good,YOU GOOD,1,False,False,False
what happened,HAPPENED WHAT ,0,False,False,False
speak softly,SPEAK SOFTLY,0,False,False,False
i am fine. thank you sir,I FINE THANK YOU ,2,False,False,False
comb your hair,COMB YOU HAIR,0,False,False,False
do not make me angry,YOU ANGRY DONOT,2,False,False,False
do not be stubborn,STUBBORN  BE DONOT,1,False,False,False
how can i trust you,I TRUST YOU HOW ,1,False,False,False
where are you from,YOU FROM WHERE ,1,False,False,True
take care of yourself,TAKE CARE  YOURSELF,1,False,False,False
what are you doing, YOU DO WHAT,1,False,False,True
how dare you, DARE YOU HOW,0,False,False,False
i am crying,I CRY,1,False,False,True
why are you angry,YOU ANGRY WHY ,1,False,False,False
i am sitting in the class,I SITTING CLASS,3,False,False,False
do not be stubborn,STUBBORN  BE DONOT,1,False,False,False
now onwards he will never hurt you,NOW ONWARDS HE HURT YOU NEVER ,1,False,False,False
he is on the way,HE ON THE WAY,1,False,False,False
it was nice chatting with you,YOU CHAT NICE,3,False,False,False
had your food, FOOD HAD,1,False,False,False
i promise,I PROMISE,0,False,False,False
take care of yourself,TAKE CARE  YOURSELF,1,False,False,False
how can i help you, I HELP YOU HOW,1,False,False,False
do not worry,DONOT WORRY,1,False,False,False
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT,1,False,False,False
why are you angry,YOU ANGRY WHY ,1,False,False,False
nice to meet you,NICE MEET YOU,1,False,False,False
let him take time,LET HIM TAKE TIME,0,False,False,False
i got hurt,I GOT HURT,0,False,False,False
i am tired,I TIRED,1,False,False,False
comb your hair,COMB YOU HAIR,0,False,False,False
i promise,I PROMISE,0,False,False,False
can you repeat that please,YOU REPEAT PLEASE,2,False,False,False
comb your hair,COMB YOU HAIR,0,False,False,False
my name is xxxxxxxx,MY NAME XXXXXXXX,1,False,False,False
how old are you,HOW OLD YOU,1,False,False,False
thank you so much,THANK YOU SO MUCH,0,False,False,False
what are you doing, YOU DO WHAT,1,False,False,True
that is so kind of you, YOU KIND THAT,3,False,False,False
i do not like it,I  LIKE IT DO NOT,0,False,False,False
how dare you, DARE YOU HOW,0,False,False,False
prepare the bed,PREPARE BED,1,False,False,False
can you repeat that please,YOU REPEAT PLEASE,2,False,False,False
i am (age),I OLD,1,False,False,True
what do you want to become,WHAT DO YOU WANT BECOME,1,False,False,False
you can do it,YOU DO IT,1,False,False,True
i got hurt,I GOT HURT,0,False,False,False
