Sentences,target_text,input_text,generated_gloss
it does not make any difference to me,IT MAKE ANY DIFFERENCE  ME DO NOT ,translate English to gloss: it does not make any difference to me,I CAN NOT DIFFERENCE
tell me truth,TELL TRUTH,translate English to gloss: tell me truth,I RÉAL
do me a favour,DO  FAVOUR ME,translate English to gloss: do me a favour,DO MONEY FOUR
do not worry,DONOT WORRY,translate English to gloss: do not worry,DO NOT HELP ME
do not abuse him, HIM ABUSE DONOT,translate English to gloss: do not abuse him,YOU MISS him
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT
do not be stubborn,STUBBORN  BE DONOT,translate English to gloss: do not be stubborn,DO NOT HARM
i enjoyed a lot,I ENJOYED A LOT,translate English to gloss: i enjoyed a lot,I GUY AN AWAY
i am suffering from fever,I FEVER SUFFERING  ,translate English to gloss: i am suffering from fever,I Fieber
try to understand,YOU TRY UNDERSTAND,translate English to gloss: try to understand,TRY TO COME
pour some more water into the glass,WATER POUR  GLASS,translate English to gloss: pour some more water into the glass,GLASS GLASS GLASS
are you free today,YOU FREE TODAY,translate English to gloss: are you free today,YOU FREE
how can i trust you,I TRUST YOU HOW ,translate English to gloss: how can i trust you,I GUEST YOU HOW
what do you think, DO YOU THINK WHAT,translate English to gloss: what do you think,YOU GOT WHAT
you are good,YOU GOOD,translate English to gloss: you are good,YOU GOOD
what happened,HAPPENED WHAT ,translate English to gloss: what happened,WHAT SEE
speak softly,SPEAK SOFTLY,translate English to gloss: speak softly,YES WELL
i am fine. thank you sir,I FINE THANK YOU ,translate English to gloss: i am fine. thank you sir,I FINE THANK YOU
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR
do not make me angry,YOU ANGRY DONOT,translate English to gloss: do not make me angry,DO NOT ANGRY
where are you from,YOU FROM WHERE ,translate English to gloss: where are you from,YOU FROM
take care of yourself,TAKE CARE  YOURSELF,translate English to gloss: take care of yourself,HELP ME
what are you doing, YOU DO WHAT,translate English to gloss: what are you doing,YOU DO WHAT
how dare you, DARE YOU HOW,translate English to gloss: how dare you,YOU HOW
i am crying,I CRY,translate English to gloss: i am crying,I CRY
why are you angry,YOU ANGRY WHY ,translate English to gloss: why are you angry,YOU ANGRY
i am sitting in the class,I SITTING CLASS,translate English to gloss: i am sitting in the class,I SIT IN THE Class
now onwards he will never hurt you,NOW ONWARDS HE HURT YOU NEVER ,translate English to gloss: now onwards he will never hurt you,NOW ONWARDS HE HURT YOU NEVER
he is on the way,HE ON THE WAY,translate English to gloss: he is on the way,HE ON THE WAY
it was nice chatting with you,YOU CHAT NICE,translate English to gloss: it was nice chatting with you,YOU HELP NICE
had your food, FOOD HAD,translate English to gloss: had your food,HELP YOUR FRIEND
i promise,I PROMISE,translate English to gloss: i promise,I PROMISE
how can i help you, I HELP YOU HOW,translate English to gloss: how can i help you,I HELP YOU HOW
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT,translate English to gloss: i somehow got to know about it,I YES HAPPY IT
